country,region,poverty_causes_crime_p,crime_causes_poverty_p,H1_sustinuta,H2_sustinuta
AT,Vest,0.971,0.114,False,False
BE,Vest,0.152,0.124,False,False
BG,Est,0.015,0.546,True,False
CY,Vest,0.06,0.212,False,False
CZ,Est,0.38,0.258,False,False
DE,Vest,0.048,0.799,True,False
DK,Vest,0.866,0.591,False,False
EE,Est,0.949,0.002,False,True
EL,Vest,0.105,0.72,False,False
ES,Vest,0.155,0.001,False,True
FI,Vest,0.892,0.553,False,False
FR,Vest,0.775,0.086,False,False
HR,Est,0.1,0.022,False,True
HU,Est,0.115,0.627,False,False
IE,Vest,0.008,0.657,True,False
IT,Vest,0.292,0.051,False,False
LT,Est,0.051,0.007,False,True
LU,Vest,0.481,0.307,False,False
LV,Est,0.334,0.652,False,False
MT,Vest,0.127,0.012,False,True
NL,Vest,0.278,0.886,False,False
PL,Est,0.804,0.05,False,False
PT,Vest,0.316,0.164,False,False
SE,Vest,0.596,0.902,False,False
SI,Est,0.561,0.252,False,False
SK,Est,0.247,0.908,False,False
